timestamp,date,total_apr,aura_apr,bal_apr,Swap_fees
1687305600,2023-06-21T00:00:00.000Z,50.43,27.26,22.98,0.19
1687392000,2023-06-22T00:00:00.000Z,52.47,28.51,23.8,0.16
1687478400,2023-06-23T00:00:00.000Z,51.16,27.55,23.38,0.23
1687564800,2023-06-24T00:00:00.000Z,50.89,27.03,23.63,0.23
1687651200,2023-06-25T00:00:00.000Z,50.46,26.7,23.53,0.23
1687737600,2023-06-26T00:00:00.000Z,28.58,15.02,13.33,0.23
1687824000,2023-06-27T00:00:00.000Z,25.49,13.6,11.66,0.23
1687910400,2023-06-28T00:00:00.000Z,23.58,12.47,10.88,0.23
1687996800,2023-06-29T00:00:00.000Z,22.86,12.39,10.24,0.23
1688083200,2023-06-30T00:00:00.000Z,29.42,13.76,11.67,3.99
1688169600,2023-07-01T00:00:00.000Z,27.32,14.86,12.15,0.31
1688256000,2023-07-02T00:00:00.000Z,27.15,14.51,12.33,0.31
1688342400,2023-07-03T00:00:00.000Z,41.78,22.67,18.8,0.31
1688428800,2023-07-04T00:00:00.000Z,42.13,22.79,19.03,0.31
1688515200,2023-07-05T00:00:00.000Z,40.71,21.79,18.61,0.31
1688601600,2023-07-06T00:00:00.000Z,39.96,21.39,18.26,0.31
1688688000,2023-07-07T00:00:00.000Z,35.99,19.18,16.81,0.0
1688774400,2023-07-08T00:00:00.000Z,36.07,19.18,16.89,0.0
1688860800,2023-07-09T00:00:00.000Z,44.2,23.42,20.78,0.0
1688947200,2023-07-10T00:00:00.000Z,43.96,23.27,20.69,0.0
1689033600,2023-07-11T00:00:00.000Z,42.96,22.65,20.31,0.0
1689120000,2023-07-12T00:00:00.000Z,42.79,22.48,20.31,0.0
1689206400,2023-07-13T00:00:00.000Z,42.49,21.8,19.95,0.74
1689292800,2023-07-14T00:00:00.000Z,45.92,24.31,21.61,0.0
1689379200,2023-07-15T00:00:00.000Z,43.75,23.01,20.74,0.0
1689465600,2023-07-16T00:00:00.000Z,52.76,27.56,25.2,0.0
1689552000,2023-07-17T00:00:00.000Z,51.95,27.22,24.73,0.0
1689638400,2023-07-18T00:00:00.000Z,52.19,26.83,25.36,0.0
1689724800,2023-07-19T00:00:00.000Z,51.04,26.61,24.42,0.01
1689811200,2023-07-20T00:00:00.000Z,62.31,32.37,29.93,0.01
1689897600,2023-07-21T00:00:00.000Z,62.32,32.1,29.94,0.28
1689984000,2023-07-22T00:00:00.000Z,61.74,31.47,30.27,0.0
1690070400,2023-07-23T00:00:00.000Z,57.85,29.77,28.08,0.0
1690156800,2023-07-24T00:00:00.000Z,59.81,30.98,28.83,0.0
1690243200,2023-07-25T00:00:00.000Z,56.13,28.68,27.45,0.0
1690329600,2023-07-26T00:00:00.000Z,53.95,27.29,26.66,0.0
1690416000,2023-07-27T00:00:00.000Z,52.16,25.38,26.78,0.0
1690502400,2023-07-28T00:00:00.000Z,42.82,21.52,21.3,0.0
1690588800,2023-07-29T00:00:00.000Z,42.41,21.21,21.2,0.0
1690675200,2023-07-30T00:00:00.000Z,42.82,21.52,21.3,0.0
1690761600,2023-07-31T00:00:00.000Z,42.09,21.17,20.92,0.0
1690848000,2023-08-01T00:00:00.000Z,51.56,26.36,25.2,0.0
1690934400,2023-08-02T00:00:00.000Z,50.74,25.12,25.62,0.0
1691020800,2023-08-03T00:00:00.000Z,50.02,24.5,25.52,0.0
1691107200,2023-08-04T00:00:00.000Z,49.61,24.45,25.16,0.0
1691193600,2023-08-05T00:00:00.000Z,50.23,25.13,25.1,0.0
1691280000,2023-08-06T00:00:00.000Z,50.35,25.13,25.22,0.0
1691366400,2023-08-07T00:00:00.000Z,50.36,24.77,25.59,0.0
1691452800,2023-08-08T00:00:00.000Z,30.74,14.77,15.91,0.06
1691539200,2023-08-09T00:00:00.000Z,30.54,14.65,15.84,0.05
1691625600,2023-08-10T00:00:00.000Z,30.67,14.89,15.73,0.05
1691712000,2023-08-11T00:00:00.000Z,34.01,15.83,17.3,0.88
1691798400,2023-08-12T00:00:00.000Z,32.74,15.44,17.3,0.0
1691884800,2023-08-13T00:00:00.000Z,32.73,15.31,17.42,0.0
1691971200,2023-08-14T00:00:00.000Z,32.38,15.04,17.34,0.0
1692057600,2023-08-15T00:00:00.000Z,33,15.42,17.58,0.0
1692144000,2023-08-16T00:00:00.000Z,32.23,15.42,16.81,0.0
1692230400,2023-08-17T00:00:00.000Z,13.74,6.58,7.08,0.08
1692316800,2023-08-18T00:00:00.000Z,13.17,6.24,6.75,0.18
1692403200,2023-08-19T00:00:00.000Z,31.73,12.8,14.7,4.23
1692489600,2023-08-20T00:00:00.000Z,27.86,12.81,14.86,0.19
1692576000,2023-08-21T00:00:00.000Z,27.76,13.1,14.66,0.0
1692662400,2023-08-22T00:00:00.000Z,27.64,13.21,14.43,0.0
1692748800,2023-08-23T00:00:00.000Z,27.44,13.43,14.01,0.0
1692835200,2023-08-24T00:00:00.000Z,28.1,13.53,14.04,0.53
1692921600,2023-08-25T00:00:00.000Z,24.76,21.7,3.06,0.0
1693008000,2023-08-26T00:00:00.000Z,27.1,22.04,3.09,1.97
1693094400,2023-08-27T00:00:00.000Z,24.12,21.11,3.01,0.0
1693180800,2023-08-28T00:00:00.000Z,23.53,20.43,3.1,0.0
1693267200,2023-08-29T00:00:00.000Z,23.17,19.96,3.08,0.13
1693353600,2023-08-30T00:00:00.000Z,24.35,19.99,3.22,1.14
1693440000,2023-08-31T00:00:00.000Z,32.27,23.26,3.48,5.53
1693526400,2023-09-01T00:00:00.000Z,62.91,31.77,29.78,1.36
1693612800,2023-09-02T00:00:00.000Z,60.28,30.7,29.58,0.0
1693699200,2023-09-03T00:00:00.000Z,60.02,30.17,29.85,0.0
1693785600,2023-09-04T00:00:00.000Z,59.12,29.74,29,0.38
1693872000,2023-09-05T00:00:00.000Z,59.5,30.01,29.36,0.13
1693958400,2023-09-06T00:00:00.000Z,62.7,31.32,29.56,1.82
1694044800,2023-09-07T00:00:00.000Z,57.01,27.78,27.07,2.16
1694131200,2023-09-08T00:00:00.000Z,74.87,44.28,30.42,0.17
1694217600,2023-09-09T00:00:00.000Z,70.12,42.2,27.91,0.01
1694304000,2023-09-10T00:00:00.000Z,69.55,41.14,28.41,0.0
1694390400,2023-09-11T00:00:00.000Z,69.07,41.5,27.57,0.0
1694476800,2023-09-12T00:00:00.000Z,67.9,40.29,26.97,0.64
1694563200,2023-09-13T00:00:00.000Z,85.73,45.98,39.68,0.07
1694649600,2023-09-14T00:00:00.000Z,85.32,45.51,39.81,0.0
1694736000,2023-09-15T00:00:00.000Z,85.2,44.15,41.05,0.0
1694822400,2023-09-16T00:00:00.000Z,85.79,44.36,41.43,0.0
1694908800,2023-09-17T00:00:00.000Z,71.55,36.54,33.8,1.21
1694995200,2023-09-18T00:00:00.000Z,73.21,37.11,33.95,2.15
1695081600,2023-09-19T00:00:00.000Z,73.42,37.84,35.58,0.0
1695168000,2023-09-20T00:00:00.000Z,78.94,39.72,37.51,1.71
1695254400,2023-09-21T00:00:00.000Z,75.42,38.16,37.05,0.21
1695340800,2023-09-22T00:00:00.000Z,87.92,44.42,42.01,1.49
1695427200,2023-09-23T00:00:00.000Z,87.39,44.6,42.79,0.0
1695513600,2023-09-24T00:00:00.000Z,86.59,44.44,42.09,0.06
1695600000,2023-09-25T00:00:00.000Z,84.57,43.22,41.35,0.0
1695686400,2023-09-26T00:00:00.000Z,86.02,43.18,41.8,1.04
1695772800,2023-09-27T00:00:00.000Z,89.46,47.59,41.36,0.51
1695859200,2023-09-28T00:00:00.000Z,85.5,44.4,41.1,0.0
1695945600,2023-09-29T00:00:00.000Z,95.75,45.97,48.04,1.74
1696032000,2023-09-30T00:00:00.000Z,93.1,45.35,47.31,0.44
1696118400,2023-10-01T00:00:00.000Z,96.84,46.52,47.94,2.38
1696204800,2023-10-02T00:00:00.000Z,97.52,47.59,49.93,0.0
1696291200,2023-10-03T00:00:00.000Z,97.24,47.04,49.1,1.1
1696377600,2023-10-04T00:00:00.000Z,102.53,48.74,49.6,4.19
1696464000,2023-10-05T00:00:00.000Z,97.73,48.01,48.41,1.31
1696550400,2023-10-06T00:00:00.000Z,93.13,46.29,46.84,0.0
1696636800,2023-10-07T00:00:00.000Z,94.61,46.76,47.85,0.0
1696723200,2023-10-08T00:00:00.000Z,94.2,47.37,46.83,0.0
1696809600,2023-10-09T00:00:00.000Z,90.01,43.59,45.08,1.34
1696896000,2023-10-10T00:00:00.000Z,87.11,43.21,43.77,0.13
1696982400,2023-10-11T00:00:00.000Z,86.31,42.23,43.95,0.13
