blocknumber,timestamp,poolid,liquidityprovider,token1,tokenout,token1delta,token2delta,protocolfeetoken1,protocolfeetoken2
13823886,1639761175,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x7d781C2463c300ed86E7a51f456779de6bFEAFc9,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2978961087320796872090858,400000000000,0,0
13823985,1639762592,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5c8A889C2B9107896eB8eCB2DE1348953D086Fb0,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,30573017093043010542533,4092341297,0,0
13828914,1639827538,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x9b40d52Bd9fa0256C7853D3d02f2B5DC66802a0A,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,21000000000000000000000,0,0,0
13830994,1639855550,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB9D53Cc752D3d1888FE8e340a65027C1a2d86f94,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,103754519694308264710110,13565241642,0,0
13831296,1639859521,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xC4d9d1a93068d311Ab18E988244123430eB4F1CD,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,54759347790359353702560,0,0,0
13857999,1640216380,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5C57abD3548b87Ef9bAbEa37ed3abD51fad523a3,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,413165918,0,0
13938268,1641289221,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xeD89BD21C53C97D4B346B7236080c4f373a096D8,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,5452698557,156091954746243678134,0
14102682,1643486412,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x130daD1E7981AbF598aaEc5ABef9f38b1d9EBD98,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,2858057209,771842317992562774860,0
14128072,1643824287,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x70eCe45cDc64A768f936Ccb8aC851578251363e3,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12917833782393853007090,1500000000,133524679498309642026,0
14136942,1643943578,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5ca12f79e4d33b0Bd153B40df59f6DB9eE03482e,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,11663263946166929628593,2554000000,38272937693393728642,0
14146794,1644074917,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xEB70b4FB3AA7452A688D46CE597A54746e4620Fd,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3910989294645997947159,300020918,26713681717956658362,0
14270358,1645726422,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xc89dA7F8c6E075A59EC631D8Ae933073fE0e620a,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,700000000000000000000,350000000,2506172859730300983628,0
14281052,1645869803,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xb2a3b5B9d2C0f07cBA328b58737147cfc172EB9f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7600000000000000000000,503481447,126304893073084346225,0
14319083,1646378966,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x0F3347b37F40870c68a7348B5660DFe37D357dba,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7127972502226103139789,477403702,153884265675295920018,0
14343554,1646707146,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x13687eC1edf8eBe8C1377790c3522c20bb902e21,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,605230432955010383045517,38470690564,206299896925766152781,0
