blocknumber,timestamp,collateral,bands,maxborrowable,collateraltoken,borrowabletoken
17695734,1689386735,1000000000000000000,10,1889534359898238344487,wstETH,crvUSD
17701734,1689460235,1000000000000000000,10,1889943549244436204015,wstETH,crvUSD
17707734,1689533363,1000000000000000000,10,1890357780769077869860,wstETH,crvUSD
17713734,1689606023,1000000000000000000,10,1871854195087961419284,wstETH,crvUSD
17719734,1689678671,1000000000000000000,10,0,wstETH,crvUSD
17725734,1689751499,1000000000000000000,10,1853640941592249665593,wstETH,crvUSD
17731734,1689824123,1000000000000000000,10,1853710180746131208153,wstETH,crvUSD
17737734,1689896687,1000000000000000000,10,1835271916913355063101,wstETH,crvUSD
17743734,1689969275,1000000000000000000,10,0,wstETH,crvUSD
17749734,1690041755,1000000000000000000,10,1835538303501318056481,wstETH,crvUSD
17755734,1690114307,1000000000000000000,10,1817351109589389834847,wstETH,crvUSD
17761734,1690186811,1000000000000000000,10,1835870292636885814604,wstETH,crvUSD
17767734,1690259339,1000000000000000000,10,1799485360024560778726,wstETH,crvUSD
17773734,1690331951,1000000000000000000,10,1817790168651032005751,wstETH,crvUSD
17779734,1690404431,1000000000000000000,10,1817921565832147823186,wstETH,crvUSD
17785734,1690476971,1000000000000000000,10,0,wstETH,crvUSD
17791734,1690549499,1000000000000000000,10,0,wstETH,crvUSD
17797734,1690622075,1000000000000000000,10,1836546647402702319335,wstETH,crvUSD
17803734,1690694519,1000000000000000000,10,1836575492904843062325,wstETH,crvUSD
17809734,1690767167,1000000000000000000,10,1818257046652149299342,wstETH,crvUSD
17815734,1690839563,1000000000000000000,10,1818321840426863495925,wstETH,crvUSD
17821734,1690911983,1000000000000000000,10,1782358480870724106238,wstETH,crvUSD
17827734,1690984391,1000000000000000000,10,1800784655460440054811,wstETH,crvUSD
17833734,1691056811,1000000000000000000,10,1783171449559302263226,wstETH,crvUSD
17839734,1691129279,1000000000000000000,10,1801572374632476522965,wstETH,crvUSD
17845734,1691201819,1000000000000000000,10,1783934416084748618323,wstETH,crvUSD
17851734,1691274275,1000000000000000000,10,1784307496781126514651,wstETH,crvUSD
17857734,1691346875,1000000000000000000,10,1784676708994774267013,wstETH,crvUSD
17863734,1691419535,1000000000000000000,10,1784946310780052416814,wstETH,crvUSD
17869734,1691492015,1000000000000000000,10,1785161511400692452763,wstETH,crvUSD
17875734,1691564615,1000000000000000000,10,1803412194149479332552,wstETH,crvUSD
