blocknumber,timestamp,poolid,liquidityprovider,token1,token2,token1Weights,token2Weights,token1Address,token2Address,toke1Balance,token2Balance,bptBalance
17417988,1686012911,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13657745641767670645656153,84293405035,9635936720451752310975477
17425188,1686100559,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13657745641767670645656153,84293405035,9635936720451752310975477
17432388,1686188315,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13672176037359143619130763,85355692612,9668039691534259678538949
17439588,1686276179,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13618302390967164483623440,85302345109,9635936720451752310975477
17446788,1686363791,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13636368709975234898499022,84855684936,9635936720451752310975477
17453988,1686451403,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13661709634925825552635020,84234093354,9635936720451752310975477
17461188,1686538979,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13675302233096031629474268,83903029423,9635936720451752310975477
17468388,1686626639,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13675302233096031629474268,83903029423,9635936720451752310975477
17475588,1686714107,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13675302233096031629474268,83903029423,9635936720451752310975477
17482788,1686801707,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,,D2D,USDC,80,20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13707016251131188694164550,83136909665,9635936720451752310975477
