timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
"2023-09-28T00:00:00.000Z","2023-09-28T23:59:59.999Z","2023-09-28T18:12:00.000Z","2023-09-28T00:08:00.000Z",1822.9592656597,1898.3190578289,1822.8915592461,1882.3705685443,13626751.55,0,"2023-09-28T23:59:59.999Z"
"2023-09-27T00:00:00.000Z","2023-09-27T23:59:59.999Z","2023-09-27T12:13:00.000Z","2023-09-27T18:09:00.000Z",1815.6252351281,1857.1824144269,1809.5291429154,1822.9259231347,13245276.69,0,"2023-09-27T23:59:59.999Z"
"2023-09-26T00:00:00.000Z","2023-09-26T23:59:59.999Z","2023-09-26T09:49:00.000Z","2023-09-26T15:49:00.000Z",1811.6313880165,1820.4368734257,1803.6410964096,1815.6848289987,8245796.2,0,"2023-09-26T23:59:59.999Z"
"2023-09-25T00:00:00.000Z","2023-09-25T23:59:59.999Z","2023-09-25T20:17:00.000Z","2023-09-25T12:20:00.000Z",1802.4613254245,1818.9257967075,1788.3984371696,1811.425332986,10101935.45,0,"2023-09-25T23:59:59.999Z"
"2023-09-24T00:00:00.000Z","2023-09-24T23:59:59.999Z","2023-09-24T18:10:00.000Z","2023-09-24T23:30:00.000Z",1817.2452937113,1827.0481385908,1798.6548428805,1802.4736161216,7769635.57,0,"2023-09-24T23:59:59.999Z"
"2023-09-23T00:00:00.000Z","2023-09-23T23:59:59.999Z","2023-09-23T00:14:00.000Z","2023-09-23T12:25:00.000Z",1818.2212517491,1822.5440676056,1810.7595023884,1817.2781734676,9055567.87,0,"2023-09-23T23:59:59.999Z"
"2023-09-22T00:00:00.000Z","2023-09-22T23:59:59.999Z","2023-09-22T19:27:00.000Z","2023-09-22T00:29:00.000Z",1804.6652480202,1824.0627829761,1800.6826230622,1818.2220914715,7408350.92,0,"2023-09-22T23:59:59.999Z"
"2023-09-21T00:00:00.000Z","2023-09-21T23:59:59.999Z","2023-09-21T00:50:00.000Z","2023-09-21T13:36:00.000Z",1851.8606859229,1854.4671610753,1798.0469759268,1804.6715783299,13880318.82,0,"2023-09-21T23:59:59.999Z"
"2023-09-20T00:00:00.000Z","2023-09-20T23:59:59.999Z","2023-09-20T01:57:00.000Z","2023-09-20T19:22:00.000Z",1874.6905020808,1880.7021582584,1841.7931256503,1851.7889596591,4862264.3,0,"2023-09-20T23:59:59.999Z"
"2023-09-19T00:00:00.000Z","2023-09-19T23:59:59.999Z","2023-09-19T16:14:00.000Z","2023-09-19T00:51:00.000Z",1866.6123859952,1891.3697569988,1858.9744006404,1874.6940260154,13944186.29,0,"2023-09-19T23:59:59.999Z"
"2023-09-18T00:00:00.000Z","2023-09-18T23:59:59.999Z","2023-09-18T12:44:00.000Z","2023-09-18T00:38:00.000Z",1850.1906849899,1898.2798816475,1840.9253878776,1866.6123859856,13857602.89,0,"2023-09-18T23:59:59.999Z"
"2023-09-17T00:00:00.000Z","2023-09-17T23:59:59.999Z","2023-09-17T10:57:00.000Z","2023-09-17T22:12:00.000Z",1863.0432939035,1864.0432764795,1844.0937609245,1850.5247567343,6552140.59,0,"2023-09-17T23:59:59.999Z"
"2023-09-16T00:00:00.000Z","2023-09-16T23:59:59.999Z","2023-09-16T02:25:00.000Z","2023-09-16T15:03:00.000Z",1874.1840305561,1884.0973274067,1859.9645214121,1863.0716641222,10993379.03,0,"2023-09-16T23:59:59.999Z"
"2023-09-15T00:00:00.000Z","2023-09-15T23:59:59.999Z","2023-09-15T23:10:00.000Z","2023-09-15T14:49:00.000Z",1854.3691339961,1881.3807900495,1839.7597835049,1874.4253570882,22209715.37,0,"2023-09-15T23:59:59.999Z"
"2023-09-14T00:00:00.000Z","2023-09-14T23:59:59.999Z","2023-09-14T15:02:00.000Z","2023-09-14T00:10:00.000Z",1829.8725785091,1869.1703170941,1829.7576192754,1854.293044436,10523183.48,0,"2023-09-14T23:59:59.999Z"
"2023-09-13T00:00:00.000Z","2023-09-13T23:59:59.999Z","2023-09-13T15:29:00.000Z","2023-09-13T06:50:00.000Z",1814.3182235554,1839.243930326,1802.5165773268,1829.9782883661,13805700.96,0,"2023-09-13T23:59:59.999Z"
"2023-09-12T00:00:00.000Z","2023-09-12T23:59:59.999Z","2023-09-12T16:32:00.000Z","2023-09-12T00:33:00.000Z",1767.0879726581,1840.7386192107,1763.7928430211,1814.3621902217,8867378.53,0,"2023-09-12T23:59:59.999Z"
"2023-09-11T00:00:00.000Z","2023-09-11T23:59:59.999Z","2023-09-11T00:24:00.000Z","2023-09-11T20:03:00.000Z",1845.3907286585,1845.9423960788,1758.0365989527,1767.1325236542,21582242.49,0,"2023-09-11T23:59:59.999Z"
"2023-09-10T00:00:00.000Z","2023-09-10T23:59:59.999Z","2023-09-10T00:03:00.000Z","2023-09-10T19:42:00.000Z",1860.4635498127,1860.5527384706,1827.868455891,1845.3791355187,6735739.2,0,"2023-09-10T23:59:59.999Z"
"2023-09-09T00:00:00.000Z","2023-09-09T23:59:59.999Z","2023-09-09T00:21:00.000Z","2023-09-09T21:47:00.000Z",1864.2969818791,1865.3545666433,1849.3060821295,1860.4267126096,3289697.69,0,"2023-09-09T23:59:59.999Z"
"2023-09-08T00:00:00.000Z","2023-09-08T23:59:59.999Z","2023-09-08T00:59:00.000Z","2023-09-08T10:08:00.000Z",1874.365533056,1883.6702762699,1841.5333177121,1864.2819500055,14489822.67,0,"2023-09-08T23:59:59.999Z"
"2023-09-07T00:00:00.000Z","2023-09-07T23:59:59.999Z","2023-09-07T21:20:00.000Z","2023-09-07T12:56:00.000Z",1857.7330238472,1882.8243078038,1848.1850767493,1874.545620151,18507162.11,0,"2023-09-07T23:59:59.999Z"
