blockNumber,timestamp,collateral,bands,maxborrowable,collateraltoken,borrowabletoken
17417988,1686012911,1000000000000000000,10,0,wstETH,crvUSD
17425188,1686100559,1000000000000000000,10,0,wstETH,crvUSD
17432388,1686188315,1000000000000000000,10,1788242935178629120132,wstETH,crvUSD
17439588,1686276179,1000000000000000000,10,1788502810995222998718,wstETH,crvUSD
17446788,1686363791,1000000000000000000,10,1788685325144498102044,wstETH,crvUSD
17453988,1686451403,1000000000000000000,10,1701105522113207515029,wstETH,crvUSD
17461188,1686538979,1000000000000000000,10,1684171350490342582356,wstETH,crvUSD
17468388,1686626639,1000000000000000000,10,1684387427029430123484,wstETH,crvUSD
17475588,1686714107,1000000000000000000,10,1684721460883262376630,wstETH,crvUSD
17482788,1686801707,1000000000000000000,10,1602463155981677324763,wstETH,crvUSD
17489988,1686889259,1000000000000000000,10,1618688945679645509668,wstETH,crvUSD
17497188,1686976571,1000000000000000000,10,1668296590861811422772,wstETH,crvUSD
17504388,1687063703,1000000000000000000,10,1685331567262658530823,wstETH,crvUSD
17511588,1687150967,1000000000000000000,10,1668706502399405578625,wstETH,crvUSD
17518788,1687238399,1000000000000000000,10,0,wstETH,crvUSD
17525988,1687325663,1000000000000000000,10,1755215721890000448319,wstETH,crvUSD
17533188,1687412915,1000000000000000000,10,1864772249985097042541,wstETH,crvUSD
17540388,1687500347,1000000000000000000,10,1828114636769273141059,wstETH,crvUSD
17547588,1687587875,1000000000000000000,10,1828567904341275616180,wstETH,crvUSD
17554788,1687675367,1000000000000000000,10,1847493728191802510340,wstETH,crvUSD
17561988,1687762907,1000000000000000000,10,1829450496138726398472,wstETH,crvUSD
17569188,1687850411,1000000000000000000,10,1811533036053797004259,wstETH,crvUSD
17576388,1687937975,1000000000000000000,10,1811913866432090120669,wstETH,crvUSD
17583588,1688025131,1000000000000000000,10,1794133217836665618504,wstETH,crvUSD
17590788,1688112251,1000000000000000000,10,1830739987842641872980,wstETH,crvUSD
